Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,season_code,agro_zone,crop_category,monsoon_dependent,irrigation_intensity,fertilizer_per_ha,pesticide_per_ha,input_intensity,rainfall_efficiency,yield_log,area_log,production_log,fertilizer_log,rainfall_log,year_normalized,year_squared,decade,State_encoded,Crop_encoded,Season_encoded,agro_zone_encoded,crop_category_encoded,year_bin
Arecanut,2016,Whole Year ,Tamil Nadu,7078.0,12708,912.4,1084703.5,2477.3,1.477272727,,Southern_Plateau,plantation,0,0.65,153.25,0.35000000000000003,153.6,13.91285307641778,0.9071582482007907,8.86488793377419,9.450065682882071,13.896818157632223,6.817173900750898,0.8260869565217391,0.6824196597353497,1,24,0,4,8,5,late
Sunflower,1999,Summer     ,Karnataka,30245.0,17032,1203.8,3209901.85,8166.15,0.592857143,,Southern_Plateau,oilseeds,0,0.45,106.13000000000001,0.26999999999999996,106.4,14.136786188579018,0.4655293489405006,10.317119223310685,9.742907917860578,14.981751229850703,7.094068857045629,0.08695652173913043,0.007561436672967863,0,12,47,3,8,3,early
Ginger,2012,Rabi       ,Andhra Pradesh,1.0,8,968.7,150.8,0.31,8.0,,East_Coast,spices,0,0.65,150.8,0.31,151.11,0.008249974218830565,2.1972245773362196,0.6931471805599453,2.1972245773362196,5.02256386496153,6.876986745310501,0.6521739130434783,0.42533081285444235,1,0,15,2,2,7,mid
Peas & beans (Pulses),2004,Rabi       ,Chhattisgarh,16359.0,5316,1122.8,1772334.06,3435.39,0.28625,,Central_Plateau,others,0,0.45,108.34,0.21,108.55,4.730379071009077,0.2517310081661223,9.702594610156739,8.57866451350434,14.387808478051483,7.024471078678098,0.30434782608695654,0.09262759924385634,0,4,36,2,1,4,early
Turmeric,2001,Whole Year ,Himachal Pradesh,127.0,74,918.1,12970.51,33.02,0.59625,,Other,spices,0,0.45,102.13,0.26,102.39,0.08051354586008051,0.467657128364612,4.852030263919617,4.31748811353631,9.470510693047407,6.8233949303640635,0.17391304347826086,0.030245746691871453,0,9,51,4,7,7,early
Bajra,2001,Kharif     ,Haryana,585474.0,832000,483.8,59794459.62,152223.24,1.065263158,,North_Western_Plains,cereals,0,0.85,102.13,0.26,102.39,1716.171617161716,0.7252576555816903,13.28017876256005,13.631588921725701,17.9064235828577,6.1837364347551045,0.17391304347826086,0.030245746691871453,0,8,2,1,6,1,early
Potato,2008,Kharif     ,Chhattisgarh,690.0,2668,1117.9,98697.6,62.1,1.342857143,,Central_Plateau,fruits_veg,0,0.45,143.04000000000002,0.09,143.13000000000002,2.3844847618196443,0.8513711858358151,6.53813982376767,7.889459149404524,11.49982604092381,7.020101338813675,0.4782608695652174,0.2287334593572779,1,4,37,1,1,2,mid
Wheat,2014,Rabi       ,Madhya Pradesh,5999000.0,18463000,891.2,905609040.0,1979670.0,2.904705882,,Central_Plateau,cereals,0,0.45,150.96,0.33,151.29,20693.790629903608,1.3621824621452239,15.607103513329665,16.731279341540258,20.624118248799753,6.7936903226941645,0.7391304347826086,0.546313799621928,1,14,53,2,1,1,late
Sesamum,2010,Kharif     ,Puducherry,5.0,4,1434.5875,830.55,1.2,0.8,,Other,oilseeds,0,0.45,166.10999999999999,0.24,166.35,0.0027863157069840743,0.5877866649021191,1.791759469228055,1.6094379124341003,6.7232914291161485,7.269329452074776,0.5652173913043478,0.3194706994328922,1,21,43,1,7,3,mid
Cotton(lint),2011,Rabi       ,Tamil Nadu,28769.0,79158,926.5,4819382.88,9493.77,2.83,,Southern_Plateau,others,0,0.65,167.52,0.33,167.85,85.3455525606469,1.3428648031925547,10.267088456545594,11.27921376699396,15.388156652130238,6.83249279448159,0.6086956521739131,0.37051039697542537,1,24,11,2,8,4,mid
Banana,2000,Whole Year ,Puducherry,239.0,7532,1434.5875,23462.63,62.14,26.25,,Other,fruits_veg,0,0.45,98.17,0.26,98.43,5.246632476251012,3.305053521109253,5.480638923341991,8.927048647825695,10.063206841695589,7.269329452074776,0.13043478260869565,0.017013232514177693,0,21,3,4,7,2,early
Linseed,2016,Rabi       ,Assam,4970.0,3023,2296.8,761652.5,1739.5,0.602857143,,North_Eastern,oilseeds,0,0.45,153.25,0.35,153.6,1.315606232048046,0.4717877511283635,8.511376306094673,8.014335737299424,13.543247006840838,7.739707422419264,0.8260869565217391,0.6824196597353497,1,2,23,2,5,3,late
Castor seed,2016,Rabi       ,Telangana,466.0,272,942.6,71414.5,163.1,0.521666667,,Southern_Plateau,oilseeds,0,0.45,153.25,0.35,153.60000000000002,0.28825773632895296,0.4198062255978801,6.1463292576688975,5.60947179518496,11.176270211602473,6.84970234753352,0.8260869565217391,0.6824196597353497,1,25,8,2,8,3,late
Bajra,2017,Rabi       ,Jammu and Kashmir,167.0,42,1279.1,26292.48,63.46,0.25,,Other,cereals,0,0.45,157.44,0.38,157.82,0.032809936723693464,0.22314355131420976,5.123963979403259,3.7612001156935624,10.177076278686156,7.154693478862064,0.8695652173913043,0.7561436672967864,2,10,2,2,7,1,late
Wheat,2006,Rabi       ,Punjab,3467000.0,14596000,569.6,442770570.0,762740.0,4.148421053,,North_Western_Plains,cereals,0,0.85,127.71,0.22,127.93,25580.091132141606,1.6386900760163305,15.058800513100923,16.496258145050394,19.908562295433835,6.3466884387794,0.391304347826087,0.15311909262759926,0,22,53,2,6,1,mid
Rice,1999,Winter     ,Kerala,170228.0,373259,2914.6,18066297.64,45961.56,2.097142857,,West_Coast,cereals,0,0.65,106.13000000000001,0.26999999999999996,106.39999999999999,128.02133351625739,1.1304800274700066,12.044899868386146,12.83003050673712,16.70955880705458,7.977830909508058,0.08695652173913043,0.007561436672967863,0,13,40,5,9,1,early
Urad,2008,Rabi       ,West Bengal,6765.0,5143,1560.1,967665.6,608.85,0.7125,,Lower_Gangetic,pulses,0,0.85,143.04,0.09,143.13,3.2944718467747105,0.5379542911542433,8.819665349340653,8.545586265917455,13.782642885444407,7.353145979962621,0.4782608695652174,0.2287334593572779,1,29,52,2,3,6,mid
Ragi,2016,Kharif     ,Puducherry,20.0,31,1391.3,3065.0,7.0,1.29,,Other,cereals,0,0.45,153.25,0.35,153.6,0.022265316382963442,0.8285518175661483,3.044522437723423,3.4657359027997265,8.028129059431759,7.23871233491524,0.8260869565217391,0.6824196597353497,1,21,38,1,7,1,late
Groundnut,2019,Kharif     ,Uttar Pradesh,93822.0,88371,814.5,16114866.72,34714.14,1.081904762,,Central_Plains,oilseeds,0,0.85,171.76000000000002,0.37,172.13000000000002,108.364193746168,0.7332832256306605,11.449165307495717,11.389310456370918,16.59525286469659,6.703801422061068,0.9565217391304348,0.9149338374291116,2,27,17,1,0,3,late
Urad,2017,Summer     ,Odisha,13987.0,6963,1344.4,2202113.28,5315.06,0.413333333,,East_Coast,pulses,0,0.45,157.44,0.38,157.82,5.17541251672365,0.3459509803399077,9.545955098183267,8.848509300888079,14.60492849319239,7.2044466455915055,0.8695652173913043,0.7561436672967864,2,20,52,3,2,6,late
Dry chillies,1999,Whole Year ,Haryana,2619.0,2600,344.0,277954.47,707.13,0.688888889,,North_Western_Plains,others,0,0.85,106.13,0.27,106.39999999999999,7.536231884057971,0.5240708505818008,7.8709295967551425,7.8636512654486515,12.535216199986495,5.84354441703136,0.08695652173913043,0.007561436672967863,0,8,13,4,6,4,early
Wheat,2017,Rabi       ,Bihar,2101311.0,6104303,1112.0,330830403.8,798498.18,2.866315789,,Middle_Gangetic,cereals,0,0.65,157.43999998096427,0.38,157.81999998096427,5484.548966756514,1.3523020611025651,14.558072469515944,15.624504654113883,19.617116429828407,7.014814351275545,0.8695652173913043,0.7561436672967864,2,3,53,2,4,1,late
Maize,2015,Kharif     ,Manipur,19720.0,44380,1329.1,3113985.2,6507.6,2.287777778,,North_Eastern,cereals,0,0.45,157.91,0.33,158.24,33.365912337418244,1.1902118891434894,9.889439336810069,10.700566728905104,14.951414199767031,7.19300940635925,0.782608695652174,0.612476370510397,1,16,24,1,5,1,late
Masoor,2006,Rabi       ,Chhattisgarh,16871.0,5490,1317.2,2154595.41,3711.62,0.308666667,,Central_Plateau,others,0,0.45,127.71000000000001,0.22,127.93000000000002,4.164770141101502,0.2690088074408718,9.733410722158611,8.610865667278873,14.583113983238297,7.184022448618619,0.391304347826087,0.15311909262759926,0,4,25,2,1,4,mid
Other  Rabi pulses,2000,Rabi       ,Mizoram,344.0,747,2834.3,33770.48,89.44,2.106666667,,Other,others,0,0.45,98.17000000000002,0.26,98.43000000000002,0.2634641836842662,1.1335503401366862,5.84354441703136,6.617402977974478,10.427371938300247,7.9499030306691205,0.13043478260869565,0.017013232514177693,0,18,32,2,7,4,early
Cashewnut,2019,Whole Year ,Karnataka,45546.0,64596,1422.3,7822980.96,16852.02,1.41962963,,Southern_Plateau,others,0,0.45,171.76,0.37,172.13,45.38466943019743,0.8836144830013989,10.726500038828679,11.075923249063857,15.87257636464385,7.26073339807658,0.9565217391304348,0.9149338374291116,2,12,7,4,8,4,late
Rapeseed &Mustard,2001,Rabi       ,Manipur,590.0,260,2013.1,60256.7,153.4,0.44,,North_Eastern,oilseeds,0,0.45,102.13,0.26,102.39,0.12908991609155454,0.3646431135879093,6.3818160174060985,5.564520407322694,11.006385644016946,7.607927724478835,0.17391304347826086,0.030245746691871453,0,16,39,2,5,3,early
Linseed,2008,Rabi       ,Meghalaya,90.0,43,3114.3,12873.6,8.1,0.48,,Other,oilseeds,0,0.45,143.04,0.09,143.13,0.013802844027862485,0.3920420877760237,4.51085950651685,3.784189633918261,9.463011657088153,8.044080734770414,0.4782608695652174,0.2287334593572779,1,17,23,2,7,3,mid
